event_id,is_anomaly,attack_type
EVT-0000001,0,normal
EVT-0000002,0,normal
EVT-0000003,0,normal
EVT-0000004,0,normal
EVT-0000005,0,normal
EVT-0000006,0,normal
EVT-0000007,0,normal
EVT-0000008,0,normal
EVT-0000009,0,normal
EVT-0000010,0,normal
EVT-0000011,0,normal
EVT-0000012,0,normal
EVT-0000013,0,normal
EVT-0000014,0,normal
EVT-0000015,0,normal
EVT-0000016,0,normal
EVT-0000017,0,normal
EVT-0000018,0,normal
EVT-0000019,0,normal
EVT-0000020,0,normal
EVT-0000021,0,normal
EVT-0000022,0,normal
EVT-0000023,0,normal
EVT-0000024,0,normal
EVT-0000025,0,normal
EVT-0000026,0,normal
EVT-0000027,0,normal
EVT-0000028,0,normal
EVT-0000029,0,normal
EVT-0000030,0,normal
EVT-0000031,0,normal
EVT-0000032,0,normal
EVT-0000033,0,normal
EVT-0000034,0,normal
EVT-0000035,0,normal
EVT-0000036,0,normal
EVT-0000037,0,normal
EVT-0000038,0,normal
EVT-0000039,0,normal
EVT-0000040,0,normal
EVT-0000041,0,normal
EVT-0000042,0,normal
EVT-0000043,0,normal
EVT-0000044,0,normal
EVT-0000045,0,normal
EVT-0000046,0,normal
EVT-0000047,0,normal
EVT-0000048,0,normal
EVT-0000049,0,normal
EVT-0000050,0,normal
EVT-0000051,0,normal
EVT-0000052,0,normal
EVT-0000053,0,normal
EVT-0000054,0,normal
EVT-0000055,0,normal
EVT-0000056,0,normal
EVT-0000057,0,normal
EVT-0000058,0,normal
EVT-0000059,0,normal
EVT-0000060,0,normal
EVT-0000061,0,normal
EVT-0000062,0,normal
EVT-0000063,0,normal
EVT-0000064,0,normal
EVT-0000065,0,normal
EVT-0000066,1,device_spoofing
EVT-0000067,0,normal
EVT-0000068,0,normal
EVT-0000069,0,normal
EVT-0000070,0,normal
EVT-0000071,0,normal
EVT-0000072,0,normal
EVT-0000073,0,normal
EVT-0000074,0,normal
EVT-0000075,0,normal
EVT-0000076,0,normal
EVT-0000077,0,normal
EVT-0000078,0,normal
EVT-0000079,0,normal
EVT-0000080,0,normal
EVT-0000081,0,normal
EVT-0000082,0,normal
EVT-0000083,0,normal
EVT-0000084,0,normal
EVT-0000085,0,normal
EVT-0000086,0,normal
EVT-0000087,0,normal
EVT-0000088,0,normal
EVT-0000089,0,normal
EVT-0000090,0,normal
EVT-0000091,0,normal
EVT-0000092,0,normal
EVT-0000093,0,normal
EVT-0000094,0,normal
EVT-0000095,0,normal
EVT-0000096,0,normal
EVT-0000097,0,normal
EVT-0000098,0,normal
EVT-0000099,0,normal
EVT-0000100,0,normal
EVT-0000101,0,normal
EVT-0000102,0,normal
EVT-0000103,0,normal
EVT-0000104,0,normal
EVT-0000105,0,normal
EVT-0000106,0,normal
EVT-0000107,0,normal
EVT-0000108,0,normal
EVT-0000109,0,normal
EVT-0000110,0,normal
EVT-0000111,0,normal
EVT-0000112,0,normal
EVT-0000113,0,normal
EVT-0000114,0,normal
EVT-0000115,0,normal
EVT-0000116,0,normal
EVT-0000117,0,normal
EVT-0000118,0,normal
EVT-0000119,0,normal
EVT-0000120,0,normal
EVT-0000121,0,normal
EVT-0000122,0,normal
EVT-0000123,0,normal
EVT-0000124,0,normal
EVT-0000125,0,normal
EVT-0000126,0,normal
EVT-0000127,0,normal
EVT-0000128,0,normal
EVT-0000129,0,normal
EVT-0000130,0,normal
EVT-0000131,0,normal
EVT-0000132,0,normal
EVT-0000133,0,normal
EVT-0000134,0,normal
EVT-0000135,0,normal
EVT-0000136,0,normal
EVT-0000137,0,normal
EVT-0000138,0,normal
EVT-0000139,0,normal
EVT-0000140,0,normal
EVT-0000141,0,normal
EVT-0000142,0,normal
EVT-0000143,0,normal
EVT-0000144,0,normal
EVT-0000145,0,normal
EVT-0000146,0,normal
EVT-0000147,0,normal
EVT-0000148,0,normal
EVT-0000149,0,normal
EVT-0000150,0,normal
EVT-0000151,0,normal
EVT-0000152,0,normal
EVT-0000153,0,normal
EVT-0000154,0,normal
EVT-0000155,0,normal
EVT-0000156,0,normal
EVT-0000157,0,normal
EVT-0000158,0,normal
EVT-0000159,0,normal
EVT-0000160,0,normal
EVT-0000161,0,normal
EVT-0000162,0,normal
EVT-0000163,0,normal
EVT-0000164,0,normal
EVT-0000165,0,normal
EVT-0000166,0,normal
EVT-0000167,0,normal
EVT-0000168,0,normal
EVT-0000169,0,normal
EVT-0000170,0,normal
EVT-0000171,0,normal
EVT-0000172,0,normal
EVT-0000173,0,normal
EVT-0000174,0,normal
EVT-0000175,0,normal
EVT-0000176,0,normal
EVT-0000177,0,normal
EVT-0000178,0,normal
EVT-0000179,0,normal
EVT-0000180,0,normal
EVT-0000181,0,normal
EVT-0000182,0,normal
EVT-0000183,0,normal
EVT-0000184,0,normal
EVT-0000185,0,normal
EVT-0000186,0,normal
EVT-0000187,0,normal
EVT-0000188,0,normal
EVT-0000189,0,normal
EVT-0000190,0,normal
EVT-0000191,0,normal
EVT-0000192,0,normal
EVT-0000193,0,normal
EVT-0000194,0,normal
EVT-0000195,0,normal
EVT-0000196,0,normal
EVT-0000197,0,normal
EVT-0000198,0,normal
EVT-0000199,0,normal
EVT-0000200,0,normal
EVT-0000201,0,normal
EVT-0000202,0,normal
EVT-0000203,0,normal
EVT-0000204,0,normal
EVT-0000205,1,brute_force
EVT-0000206,1,brute_force
EVT-0000207,1,brute_force
EVT-0000208,0,normal
EVT-0000209,1,brute_force
EVT-0000210,0,normal
EVT-0000211,0,normal
EVT-0000212,1,brute_force
EVT-0000213,1,brute_force
EVT-0000214,1,brute_force
EVT-0000215,1,brute_force
EVT-0000216,1,brute_force
EVT-0000217,1,brute_force
EVT-0000218,0,normal
EVT-0000219,0,normal
EVT-0000220,1,brute_force
EVT-0000221,0,normal
EVT-0000222,0,normal
EVT-0000223,1,brute_force
EVT-0000224,0,normal
EVT-0000225,0,normal
EVT-0000226,0,normal
EVT-0000227,0,normal
EVT-0000228,0,normal
EVT-0000229,0,normal
EVT-0000230,0,normal
EVT-0000231,0,normal
EVT-0000232,0,normal
EVT-0000233,0,normal
EVT-0000234,0,normal
EVT-0000235,0,normal
EVT-0000236,0,normal
EVT-0000237,0,normal
EVT-0000238,0,normal
EVT-0000239,0,normal
EVT-0000240,0,normal
EVT-0000241,0,normal
EVT-0000242,0,normal
EVT-0000243,0,normal
EVT-0000244,0,normal
EVT-0000245,0,normal
EVT-0000246,0,normal
EVT-0000247,0,normal
EVT-0000248,0,normal
EVT-0000249,0,normal
EVT-0000250,0,normal
EVT-0000251,0,normal
EVT-0000252,0,normal
EVT-0000253,0,normal
EVT-0000254,0,normal
EVT-0000255,0,normal
EVT-0000256,0,normal
EVT-0000257,0,normal
EVT-0000258,0,normal
EVT-0000259,0,normal
EVT-0000260,0,normal
EVT-0000261,0,normal
EVT-0000262,0,normal
EVT-0000263,0,normal
EVT-0000264,0,normal
EVT-0000265,0,normal
EVT-0000266,0,normal
EVT-0000267,0,normal
EVT-0000268,0,normal
EVT-0000269,0,normal
EVT-0000270,0,normal
EVT-0000271,0,normal
EVT-0000272,0,normal
EVT-0000273,0,normal
EVT-0000274,0,normal
EVT-0000275,0,normal
EVT-0000276,0,normal
EVT-0000277,0,normal
EVT-0000278,0,normal
EVT-0000279,0,normal
EVT-0000280,0,normal
EVT-0000281,0,normal
EVT-0000282,0,normal
EVT-0000283,0,normal
EVT-0000284,0,normal
EVT-0000285,0,normal
EVT-0000286,0,normal
EVT-0000287,0,normal
EVT-0000288,0,normal
EVT-0000289,0,normal
EVT-0000290,0,normal
EVT-0000291,0,normal
EVT-0000292,0,normal
EVT-0000293,0,normal
EVT-0000294,0,normal
EVT-0000295,0,normal
EVT-0000296,0,normal
EVT-0000297,0,normal
EVT-0000298,0,normal
EVT-0000299,0,normal
EVT-0000300,0,normal
EVT-0000301,0,normal
EVT-0000302,0,normal
EVT-0000303,0,normal
EVT-0000304,0,normal
EVT-0000305,0,normal
EVT-0000306,0,normal
EVT-0000307,0,normal
EVT-0000308,0,normal
EVT-0000309,0,normal
EVT-0000310,0,normal
EVT-0000311,0,normal
EVT-0000312,0,normal
EVT-0000313,0,normal
EVT-0000314,0,normal
EVT-0000315,0,normal
EVT-0000316,0,normal
EVT-0000317,0,normal
EVT-0000318,0,normal
EVT-0000319,0,normal
EVT-0000320,0,normal
EVT-0000321,0,normal
EVT-0000322,0,normal
EVT-0000323,0,normal
EVT-0000324,0,normal
EVT-0000325,0,normal
EVT-0000326,0,normal
EVT-0000327,0,normal
EVT-0000328,0,normal
EVT-0000329,0,normal
EVT-0000330,0,normal
EVT-0000331,0,normal
EVT-0000332,0,normal
EVT-0000333,0,normal
EVT-0000334,0,normal
EVT-0000335,0,normal
EVT-0000336,0,normal
EVT-0000337,0,normal
EVT-0000338,0,normal
EVT-0000339,0,normal
EVT-0000340,0,normal
EVT-0000341,0,normal
EVT-0000342,0,normal
EVT-0000343,0,normal
EVT-0000344,0,normal
EVT-0000345,0,normal
EVT-0000346,0,normal
EVT-0000347,0,normal
EVT-0000348,0,normal
EVT-0000349,0,normal
EVT-0000350,0,normal
EVT-0000351,0,normal
EVT-0000352,0,normal
EVT-0000353,0,normal
EVT-0000354,0,normal
EVT-0000355,0,normal
EVT-0000356,0,normal
EVT-0000357,0,normal
EVT-0000358,0,normal
EVT-0000359,0,normal
EVT-0000360,0,normal
EVT-0000361,1,low_slow_exfiltration
EVT-0000362,0,normal
EVT-0000363,0,normal
EVT-0000364,0,normal
EVT-0000365,0,normal
EVT-0000366,0,normal
EVT-0000367,0,normal
EVT-0000368,0,normal
EVT-0000369,0,normal
EVT-0000370,0,normal
EVT-0000371,0,normal
EVT-0000372,0,normal
EVT-0000373,0,normal
EVT-0000374,0,normal
EVT-0000375,0,normal
EVT-0000376,0,normal
EVT-0000377,0,normal
EVT-0000378,0,normal
EVT-0000379,0,normal
EVT-0000380,0,normal
EVT-0000381,0,normal
EVT-0000382,0,normal
EVT-0000383,0,normal
EVT-0000384,0,normal
EVT-0000385,0,normal
EVT-0000386,0,normal
EVT-0000387,0,normal
EVT-0000388,0,normal
EVT-0000389,0,normal
EVT-0000390,0,normal
EVT-0000391,0,normal
EVT-0000392,0,normal
EVT-0000393,0,normal
EVT-0000394,0,normal
EVT-0000395,0,normal
EVT-0000396,0,normal
EVT-0000397,0,normal
EVT-0000398,0,normal
EVT-0000399,0,normal
EVT-0000400,0,normal
EVT-0000401,0,normal
EVT-0000402,0,normal
EVT-0000403,0,normal
EVT-0000404,0,normal
EVT-0000405,0,normal
EVT-0000406,0,normal
EVT-0000407,0,normal
EVT-0000408,0,normal
EVT-0000409,0,normal
EVT-0000410,0,normal
EVT-0000411,0,normal
EVT-0000412,0,normal
EVT-0000413,0,normal
EVT-0000414,0,normal
EVT-0000415,0,normal
EVT-0000416,0,normal
EVT-0000417,0,normal
EVT-0000418,0,normal
EVT-0000419,0,normal
EVT-0000420,0,normal
EVT-0000421,0,normal
EVT-0000422,0,normal
EVT-0000423,0,normal
EVT-0000424,0,normal
EVT-0000425,0,normal
EVT-0000426,0,normal
EVT-0000427,0,normal
EVT-0000428,0,normal
EVT-0000429,0,normal
EVT-0000430,0,normal
EVT-0000431,0,normal
EVT-0000432,0,normal
EVT-0000433,0,normal
EVT-0000434,0,normal
EVT-0000435,0,normal
EVT-0000436,0,normal
EVT-0000437,0,normal
EVT-0000438,0,normal
EVT-0000439,0,normal
EVT-0000440,0,normal
EVT-0000441,0,normal
EVT-0000442,0,normal
EVT-0000443,0,normal
EVT-0000444,0,normal
EVT-0000445,0,normal
EVT-0000446,0,normal
EVT-0000447,0,normal
EVT-0000448,0,normal
EVT-0000449,0,normal
EVT-0000450,0,normal
EVT-0000451,0,normal
EVT-0000452,0,normal
EVT-0000453,0,normal
EVT-0000454,0,normal
EVT-0000455,0,normal
EVT-0000456,0,normal
EVT-0000457,0,normal
EVT-0000458,0,normal
EVT-0000459,0,normal
EVT-0000460,0,normal
EVT-0000461,0,normal
EVT-0000462,0,normal
EVT-0000463,0,normal
EVT-0000464,0,normal
EVT-0000465,0,normal
EVT-0000466,0,normal
EVT-0000467,0,normal
EVT-0000468,0,normal
EVT-0000469,0,normal
EVT-0000470,0,normal
EVT-0000471,0,normal
EVT-0000472,0,normal
EVT-0000473,0,normal
EVT-0000474,0,normal
EVT-0000475,0,normal
EVT-0000476,0,normal
EVT-0000477,0,normal
EVT-0000478,0,normal
EVT-0000479,0,normal
EVT-0000480,1,impossible_travel
EVT-0000481,0,normal
EVT-0000482,0,normal
EVT-0000483,0,normal
EVT-0000484,0,normal
EVT-0000485,0,normal
EVT-0000486,0,normal
EVT-0000487,0,normal
EVT-0000488,0,normal
EVT-0000489,0,normal
EVT-0000490,0,normal
EVT-0000491,0,normal
EVT-0000492,0,normal
EVT-0000493,0,normal
EVT-0000494,0,normal
EVT-0000495,0,normal
EVT-0000496,0,normal
EVT-0000497,0,normal
EVT-0000498,0,normal
EVT-0000499,0,normal
EVT-0000500,0,normal
EVT-0000501,0,normal
EVT-0000502,0,normal
EVT-0000503,0,normal
EVT-0000504,0,normal
EVT-0000505,0,normal
EVT-0000506,0,normal
EVT-0000507,0,normal
EVT-0000508,0,normal
EVT-0000509,0,normal
EVT-0000510,0,normal
EVT-0000511,0,normal
EVT-0000512,0,normal
EVT-0000513,0,normal
EVT-0000514,0,normal
EVT-0000515,0,normal
EVT-0000516,0,normal
EVT-0000517,0,normal
EVT-0000518,0,normal
EVT-0000519,0,normal
EVT-0000520,0,normal
EVT-0000521,0,normal
EVT-0000522,0,normal
EVT-0000523,0,normal
EVT-0000524,0,normal
EVT-0000525,0,normal
EVT-0000526,0,normal
EVT-0000527,0,normal
EVT-0000528,0,normal
EVT-0000529,0,normal
EVT-0000530,0,normal
EVT-0000531,0,normal
EVT-0000532,0,normal
EVT-0000533,0,normal
EVT-0000534,0,normal
EVT-0000535,0,normal
EVT-0000536,0,normal
EVT-0000537,0,normal
EVT-0000538,0,normal
EVT-0000539,0,normal
EVT-0000540,0,normal
EVT-0000541,0,normal
EVT-0000542,0,normal
EVT-0000543,0,normal
EVT-0000544,0,normal
EVT-0000545,0,normal
EVT-0000546,0,normal
EVT-0000547,0,normal
EVT-0000548,0,normal
EVT-0000549,0,normal
EVT-0000550,0,normal
EVT-0000551,0,normal
EVT-0000552,0,normal
EVT-0000553,0,normal
EVT-0000554,0,normal
EVT-0000555,0,normal
EVT-0000556,0,normal
EVT-0000557,0,normal
EVT-0000558,0,normal
EVT-0000559,0,normal
EVT-0000560,0,normal
EVT-0000561,0,normal
EVT-0000562,0,normal
EVT-0000563,0,normal
EVT-0000564,0,normal
EVT-0000565,0,normal
EVT-0000566,0,normal
EVT-0000567,0,normal
EVT-0000568,0,normal
EVT-0000569,0,normal
EVT-0000570,0,normal
EVT-0000571,0,normal
EVT-0000572,0,normal
EVT-0000573,0,normal
EVT-0000574,0,normal
EVT-0000575,0,normal
EVT-0000576,0,normal
EVT-0000577,0,normal
EVT-0000578,0,normal
EVT-0000579,0,normal
EVT-0000580,0,normal
EVT-0000581,0,normal
EVT-0000582,0,normal
EVT-0000583,0,normal
EVT-0000584,0,normal
EVT-0000585,0,normal
EVT-0000586,0,normal
EVT-0000587,0,normal
EVT-0000588,0,normal
EVT-0000589,0,normal
EVT-0000590,0,normal
EVT-0000591,0,normal
EVT-0000592,0,normal
EVT-0000593,0,normal
EVT-0000594,0,normal
EVT-0000595,0,normal
EVT-0000596,0,normal
EVT-0000597,0,normal
EVT-0000598,0,normal
EVT-0000599,0,normal
EVT-0000600,0,normal
EVT-0000601,0,normal
EVT-0000602,0,normal
EVT-0000603,0,normal
EVT-0000604,0,normal
EVT-0000605,0,normal
EVT-0000606,0,normal
EVT-0000607,0,normal
EVT-0000608,0,normal
EVT-0000609,0,normal
EVT-0000610,0,normal
EVT-0000611,0,normal
EVT-0000612,0,normal
EVT-0000613,0,normal
EVT-0000614,0,normal
EVT-0000615,0,normal
EVT-0000616,0,normal
EVT-0000617,0,normal
EVT-0000618,0,normal
EVT-0000619,0,normal
EVT-0000620,0,normal
EVT-0000621,0,normal
EVT-0000622,0,normal
EVT-0000623,0,normal
EVT-0000624,0,normal
EVT-0000625,0,normal
EVT-0000626,0,normal
EVT-0000627,0,normal
EVT-0000628,0,normal
EVT-0000629,0,normal
EVT-0000630,0,normal
EVT-0000631,0,normal
EVT-0000632,0,normal
EVT-0000633,0,normal
EVT-0000634,0,normal
EVT-0000635,0,normal
EVT-0000636,0,normal
EVT-0000637,0,normal
EVT-0000638,0,normal
EVT-0000639,0,normal
EVT-0000640,0,normal
