entity_id,day,composite_score,ewma_score,consecutive_elevated_days,sustained_drift_detected,hour_component,device_component,resource_component,session_component
EDGE_064,2026-06-11,0.2434,0.2434,0,False,0.4329,0.0,0.437,0.1285
EDGE_064,2026-06-12,0.1468,0.2144,0,False,0.2472,0.0,0.2388,0.1285
EDGE_064,2026-06-13,0.1087,0.1827,0,False,0.3366,0.0,0.0522,0.1285
EDGE_064,2026-06-14,0.0895,0.1547,0,False,0.1816,0.0,0.0915,0.1285
EDGE_064,2026-06-15,0.1067,0.1403,0,False,0.3671,0.0,0.0254,0.1285
EDGE_064,2026-06-16,0.0566,0.1152,0,False,0.1302,0.0,0.0162,0.1285
EDGE_064,2026-06-17,0.0986,0.1102,0,False,0.2718,0.0,0.0618,0.1285
EDGE_064,2026-06-18,0.1298,0.1161,0,False,0.342,0.0,0.1189,0.1285
EDGE_064,2026-06-19,0.1283,0.1197,0,False,0.3552,0.0,0.1052,0.1285
EDGE_064,2026-06-20,0.0676,0.1041,0,False,0.0922,0.0,0.0781,0.1285
EDGE_064,2026-06-21,0.1039,0.104,0,False,0.1925,0.0,0.1322,0.1285
EDGE_064,2026-06-22,0.082,0.0974,0,False,0.0277,0.0,0.1693,0.1285
EDGE_064,2026-06-23,0.1282,0.1067,0,False,0.3184,0.0,0.1294,0.1285
EDGE_064,2026-06-24,0.0656,0.0944,0,False,0.1011,0.0,0.0657,0.1285
EDGE_064,2026-06-25,0.0528,0.0819,0,False,0.0185,0.0,0.0779,0.1285
EDGE_064,2026-06-26,0.0695,0.0781,0,False,0.0816,0.0,0.0915,0.1285
EDGE_064,2026-06-27,0.1232,0.0917,0,False,0.3727,0.0,0.0768,0.1283
EDGE_064,2026-06-28,0.1248,0.1016,0,False,0.388,0.0,0.0717,0.1283
EDGE_064,2026-06-29,0.1373,0.1123,0,False,0.4868,0.0,0.0477,0.1283
EDGE_064,2026-06-30,0.2286,0.1472,0,False,0.152,0.5,0.0751,0.1285
EDGE_065,2026-06-11,0.6508,0.6508,1,False,1.0,0.0,0.8362,1.0
EDGE_065,2026-06-12,0.4405,0.5877,2,False,0.6934,0.0,0.3395,1.0
EDGE_065,2026-06-13,0.4336,0.5415,3,False,0.3641,0.0,0.603,0.8996
EDGE_065,2026-06-14,0.5963,0.5579,4,False,0.4166,0.5,0.5432,1.0
EDGE_065,2026-06-15,0.551,0.5559,5,True,0.3812,0.5,0.4158,1.0
EDGE_065,2026-06-16,0.5548,0.5555,6,True,0.1497,0.6667,0.4162,1.0
EDGE_065,2026-06-17,0.5777,0.5622,7,True,0.2514,0.6667,0.4249,1.0
EDGE_065,2026-06-18,0.5169,0.5486,8,True,0.1342,0.6667,0.3001,1.0
EDGE_065,2026-06-19,0.5509,0.5493,9,True,0.1803,0.6667,0.3827,1.0
EDGE_065,2026-06-20,0.5016,0.535,10,True,0.0965,0.6667,0.2743,1.0
EDGE_065,2026-06-21,0.4674,0.5147,11,True,0.388,0.5,0.3168,0.7236
EDGE_065,2026-06-22,0.4972,0.5094,12,True,0.4994,0.5,0.3455,0.7182
EDGE_065,2026-06-23,0.3286,0.4552,13,True,0.3782,0.0,0.3478,0.7432
EDGE_065,2026-06-24,0.3423,0.4213,14,True,0.5062,0.0,0.3198,0.7257
EDGE_065,2026-06-25,0.1684,0.3455,0,False,0.384,0.0,0.2905,0.0223
EDGE_065,2026-06-26,0.1646,0.2912,0,False,0.3729,0.0,0.276,0.036
EDGE_065,2026-06-27,0.1537,0.25,0,False,0.4083,0.0,0.2152,0.0377
EDGE_065,2026-06-28,0.2276,0.2433,0,False,0.339,0.0,0.0559,0.7153
EDGE_065,2026-06-29,0.2388,0.2419,0,False,0.2788,0.0,0.1358,0.7112
EDGE_065,2026-06-30,0.368,0.2797,0,False,0.312,0.5,0.0578,0.6913
EDGE_066,2026-06-11,0.153,0.153,0,False,0.4391,0.0,0.1126,0.1569
EDGE_066,2026-06-12,0.2907,0.1943,0,False,1.0,0.0,0.204,0.1476
EDGE_066,2026-06-13,0.1927,0.1938,0,False,0.6899,0.0,0.0881,0.1412
EDGE_066,2026-06-14,0.1366,0.1766,0,False,0.5201,0.0,0.015,0.1404
