event_id,entity_id,entity_type,timestamp,predicted_attack_type,attack_confidence,sequence_reconstruction_error,sequence_anomaly_component,behavior_deviation_component,attack_confidence_component,device_novelty_component,historical_context_component,risk_score,has_sequence_context,hybrid_anomaly_score,risk_level
EVT-0000001,EDGE_066,edge_device,2026-06-01 01:41:47.536952,normal,0.02547139,,0.0,16.67,0.51,10.5,5.0,32.68,False,0.4833333333333333,MEDIUM
EVT-0000002,SVC_063,service_account,2026-06-01 01:46:19.077111,normal,0.02547139,,0.0,16.67,0.51,10.5,5.0,32.68,False,0.4833333333333333,MEDIUM
EVT-0000003,EDGE_065,edge_device,2026-06-01 01:51:08.389255,normal,0.009955227,,0.0,14.86,0.2,10.5,5.0,30.56,False,0.41630434782608694,MEDIUM
EVT-0000004,SVC_056,service_account,2026-06-01 02:10:15.674542,normal,0.026417255,,0.0,17.1,0.53,10.5,5.0,33.13,False,0.4893781812073985,MEDIUM
EVT-0000005,SVC_062,service_account,2026-06-01 02:22:20.899067,normal,0.022506833,,0.0,22.92,0.45,10.5,5.0,38.87,False,0.5499999999999999,MEDIUM
EVT-0000006,EDGE_068,edge_device,2026-06-01 02:28:06.374390,normal,0.08989942,,0.0,19.08,1.8,10.5,5.0,36.38,False,0.5171837650876883,MEDIUM
EVT-0000007,EDGE_067,edge_device,2026-06-01 02:33:58.990127,normal,0.006756842,,0.0,17.13,0.14,10.5,5.0,32.77,False,0.47598514681326026,MEDIUM
EVT-0000008,SVC_061,service_account,2026-06-01 02:38:43.935279,normal,0.0036411881,,0.0,16.89,0.07,10.5,5.0,32.46,False,0.46263610051469695,MEDIUM
EVT-0000009,EDGE_065,edge_device,2026-06-01 03:15:00.449285,normal,2.0742416e-05,,0.0,8.73,0.0,4.5,4.75,17.98,False,0.1857569939911923,LOW
EVT-0000010,SVC_059,service_account,2026-06-01 03:18:26.856712,normal,0.01141423,,0.0,21.07,0.23,10.5,5.0,36.8,False,0.5450149367924992,MEDIUM
EVT-0000011,SVC_060,service_account,2026-06-01 03:41:12.493445,normal,0.031211793,,0.0,20.1,0.62,10.5,5.0,36.22,False,0.5313721027704639,MEDIUM
EVT-0000012,EDGE_068,edge_device,2026-06-01 03:50:48.061989,normal,5.4121017e-05,,0.0,10.82,0.0,4.5,4.75,20.07,False,0.2275980370191657,LOW
EVT-0000013,SVC_059,service_account,2026-06-01 03:52:51.399515,normal,6.0796738e-06,,0.0,9.16,0.0,4.5,4.75,18.41,False,0.20085652939148035,LOW
EVT-0000014,USER_008,human_user,2026-06-01 04:02:47.535460,normal,0.02763629,,0.0,25.0,0.55,10.5,5.0,41.05,False,0.6,MEDIUM
EVT-0000015,USER_035,human_user,2026-06-01 04:09:47.483491,normal,0.02369827,,0.0,17.05,0.47,10.5,5.0,33.02,False,0.4887423394574276,MEDIUM
EVT-0000016,USER_036,human_user,2026-06-01 04:19:45.110553,normal,0.0035449266,,0.0,16.45,0.07,10.5,5.0,32.02,False,0.4691203673737213,MEDIUM
EVT-0000017,SVC_059,service_account,2026-06-01 04:37:15.829512,normal,1.9907951e-05,,0.0,6.82,0.0,4.5,4.5,15.82,False,0.15640543765900328,LOW
EVT-0000018,SVC_060,service_account,2026-06-01 04:37:28.626911,normal,1.04904175e-05,,0.0,7.01,0.0,4.5,4.75,16.26,False,0.1680372145358257,LOW
EVT-0000019,EDGE_067,edge_device,2026-06-01 04:48:39.798046,normal,2.849102e-05,,0.0,7.8,0.0,4.5,4.75,17.05,False,0.17518970436410286,LOW
EVT-0000020,EDGE_066,edge_device,2026-06-01 05:00:06.154210,normal,1.2040138e-05,,0.0,7.9,0.0,4.5,4.75,17.15,False,0.17727631936120808,LOW
EVT-0000021,USER_017,human_user,2026-06-01 05:06:06.499212,normal,0.024191618,,0.0,23.33,0.48,10.5,5.0,39.31,False,0.5599999999999999,MEDIUM
EVT-0000022,USER_017,human_user,2026-06-01 05:07:54.330629,lateral_movement,0.63432616,,0.0,24.62,12.69,4.5,9.75,51.56,False,0.5076190476190476,MEDIUM
EVT-0000023,USER_036,human_user,2026-06-01 05:15:09.836388,normal,1.6331673e-05,,0.0,7.48,0.0,4.5,4.75,16.73,False,0.16583173238705765,LOW
EVT-0000024,SVC_056,service_account,2026-06-01 05:19:19.295989,normal,2.7060509e-05,,0.0,8.01,0.0,4.5,4.75,17.26,False,0.1817055338178489,LOW
