event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,auth_success,session_duration,command_sequence,device_fingerprint
EVT-0000001,EDGE_066,edge_device,2026-06-01 01:41:47.536952,192.168.20.212,Singapore,/sensor-data,certificate,False,0.63,export_csv|cat|export_csv,EdgeOS-2.1/E4:B9:27:39:1F:67
EVT-0000002,SVC_063,service_account,2026-06-01 01:46:19.077111,10.21.202.98,Chennai,/github,api_key,True,2.47,netstat|ps_aux|netstat,DEV_402
EVT-0000003,EDGE_065,edge_device,2026-06-01 01:51:08.389255,192.168.197.49,Pune,/sensor-data,certificate,True,0.77,rdp_connect|rdp_connect|curl|rdp_connect|curl|rdp_connect,EdgeOS-2.1/9F:3C:97:BC:71:70
EVT-0000004,SVC_056,service_account,2026-06-01 02:10:15.674542,10.19.57.56,Delhi,/internal-api,api_key,True,1.16,whoami|whoami|whoami|whoami,DEV_404
EVT-0000005,SVC_062,service_account,2026-06-01 02:22:20.899067,10.18.116.235,Hyderabad,/github,api_key,True,3.64,sudo_su|sudo_su|scp|grep|sudo_su,DEV_756
EVT-0000006,EDGE_068,edge_device,2026-06-01 02:28:06.374390,192.168.196.40,Bengaluru,/firmware-update,certificate,True,0.73,ps_aux|scp,SecureRTOS-3.4/45:D7:BF:C3:E5:C1
EVT-0000007,EDGE_067,edge_device,2026-06-01 02:33:58.990127,192.168.131.20,Bengaluru,/firmware-update,certificate,True,0.82,cat|cat,SecureRTOS-3.4/D4:E9:1D:EC:9D:0B
EVT-0000008,SVC_061,service_account,2026-06-01 02:38:43.935279,10.25.201.59,Chennai,/sensor-data,api_key,True,2.46,git_push|cd|ls,DEV_607
EVT-0000009,EDGE_065,edge_device,2026-06-01 03:15:00.449285,192.168.197.190,Pune,/firmware-update,certificate,True,0.69,rdp_connect|rdp_connect,EdgeOS-2.1/9F:3C:97:BC:71:70
EVT-0000010,SVC_059,service_account,2026-06-01 03:18:26.856712,10.30.25.244,Pune,/email,api_key,True,3.12,scp|export_csv|export_csv,DEV_797
EVT-0000011,SVC_060,service_account,2026-06-01 03:41:12.493445,10.18.165.93,Hyderabad,/telemetry,api_key,True,3.0,scp|scp|rdp_connect|cd,DEV_160
EVT-0000012,EDGE_068,edge_device,2026-06-01 03:50:48.061989,192.168.196.202,Bengaluru,/telemetry,certificate,True,0.5,ps_aux|scp|ps_aux|ps_aux|ps_aux|ps_aux,SecureRTOS-3.4/45:D7:BF:C3:E5:C1
