budget_pct,k_events,true_positives,false_positives,precision_at_k,recall_at_k,total_anomalies_in_test
0.1,3,3,0,1.0,0.0423,71
0.2,5,5,0,1.0,0.0704,71
0.3,7,7,0,1.0,0.0986,71
0.4,9,9,0,1.0,0.1268,71
0.5,11,11,0,1.0,0.1549,71
0.6,14,14,0,1.0,0.1972,71
0.7000000000000001,16,16,0,1.0,0.2254,71
0.8,18,18,0,1.0,0.2535,71
0.9000000000000001,20,20,0,1.0,0.2817,71
1.0,22,22,0,1.0,0.3099,71
1.5,33,33,0,1.0,0.4648,71
1.9999999999999998,44,44,0,1.0,0.6197,71
2.5,55,54,1,0.9818,0.7606,71
3.0,66,62,4,0.9394,0.8732,71
3.4999999999999996,77,63,14,0.8182,0.8873,71
3.9999999999999996,88,63,25,0.7159,0.8873,71
4.5,98,63,35,0.6429,0.8873,71
5.0,109,63,46,0.578,0.8873,71
6.000000000000001,131,64,67,0.4885,0.9014,71
7.000000000000001,153,65,88,0.4248,0.9155,71
8.000000000000002,175,65,110,0.3714,0.9155,71
9.000000000000002,196,65,131,0.3316,0.9155,71
10.0,218,65,153,0.2982,0.9155,71
11.000000000000002,240,65,175,0.2708,0.9155,71
12.000000000000002,262,65,197,0.2481,0.9155,71
13.0,284,65,219,0.2289,0.9155,71
14.000000000000002,305,66,239,0.2164,0.9296,71
15.000000000000002,327,66,261,0.2018,0.9296,71
16.000000000000004,349,66,283,0.1891,0.9296,71
17.000000000000004,371,66,305,0.1779,0.9296,71
18.000000000000004,392,66,326,0.1684,0.9296,71
19.0,414,66,348,0.1594,0.9296,71
20.0,436,67,369,0.1537,0.9437,71
